Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
07/10/20 08:26;N1M346;Bruce Mccann;AFV Regninger og Fakturaer;PC5007236;Windows 10;Dell Inc.;Latitude 7480;;HJFXJM2;Aktiv
04/10/20 10:53;N1M347;Memphis Gilmore;AFV Drift og Vedligehold;PC5007237;Windows 10;Dell Inc.;Latitude 7480;;G7PXLH2;Aktiv
07/09/20 08:16;N1M635;Niesha Mcguinness  ;MP Grundvand;PC5007245;Windows 10;Dell Inc.;Latitude E7470;;5WDQKC2;Aktiv
07/10/20 08:25;N1M348;Martin Lowe;AFV Anlæg og Processer;PC5007247;Windows 10;Dell Inc.;Latitude 7480;;B4470N2;Aktiv
26/08/20 10:18;#I/T;#I/T;AFV Regninger og Fakturaer;PC5007248;Windows 10;Dell Inc.;Latitude 7480;;G5MXJM2;Aktiv
07/10/20 08:27;N1M349;Jovany Malone;AFV Forretningsudv. og Digitalisering;PC5007249;Windows 10;LENOVO;10MQS2U600;ThinkCentre M710q;S4GT9097;Aktiv
07/10/20 03:46;N1M343;Jaliyah Villegas;Aalborg Vand Holding A/S;PC5007250;Windows 10;Dell Inc.;Latitude E7250;;4LJV562;Deaktiveret
07/10/20 06:58;N1M341;Rodolfo Hardin;AFV Proces og styring;PC5007251;Windows 10;Dell Inc.;Latitude 7490;;FCFKSQ2;Aktiv
07/10/20 07:30;N1M350;Arely Mosley;AFV Forretningsudv. og Digitalisering;PC5007252;Windows 10;LENOVO;20LAS4VE00;ThinkPad T580;R90S2GD2;Aktiv
07/10/20 06:29;N1M709;Simona Plaisted  ;Renseanlæg VEST;PC5007253;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1HTFUH;Aktiv
07/10/20 09:43;N1M352;Noelle Blackwell;AFV Anlæg og Processer;PC5007254;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1HPWVR;Aktiv
07/10/20 04:52;N1M353;Theodore Shea;AFV Vandsamarbejde Aalborg;PC5007255;Windows 10;LENOVO;20L8S9N300;ThinkPad T480s;PC10BWSM;Aktiv
05/10/20 10:25;N1M354;Aspen Washington;AFV Spildevand og Udledninger;PC5007256;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1HTHR9;Aktiv
07/10/20 07:42;N1M355;Elsie Ramos;AFV Spildevand og Udledninger;PC5007257;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1FXWMF;Aktiv
29/09/20 10:27;N1M356;Darian Vazquez;AFV Drift og Vedligehold;PC5007258;Windows 10;Dell Inc.;Latitude 5590;;976WRQ2;Aktiv
07/10/20 08:32;N1M193;Brendan Delacruz;AFV Spildevand og Udledninger;PC5007259;Windows 10;LENOVO;20KES8D200;ThinkPad X280;PC10YFY6;Aktiv
07/10/20 07:43;N1M357;Bailey Berquist  ;AFV Vedtægter og Regulativer;PC5007260;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1GDE3K;Aktiv
07/10/20 09:11;N1M358;Bailey Mcdaniel;AFV Produktion;PC5007263;Windows 10;LENOVO;20KES8D200;ThinkPad X280;PC10YFXT;Aktiv
29/09/20 11:20;N1M146;Amy Elliott;;PC5007265;Windows 10;LENOVO;20LAS4VE00;ThinkPad T580;R90T8QG0;Aktiv
07/10/20 08:07;N1M359;Muhammad Barajas;AFV Eksterne brugere;PC5007266;Windows 10;LENOVO;20LAS4VE00;ThinkPad T580;R90T8QG1;Aktiv
07/10/20 08:37;#I/T;#I/T;AFV Eksterne brugere;PC5007267;Windows 10;LENOVO;20LAS4VE00;ThinkPad T580;R90T8QG5;Aktiv
07/10/20 08:10;N1M361;Valentin Adkins;AFV Anlæg og Processer;PC5007268;Windows 10;LENOVO;20L6SB2500;ThinkPad T480;PF1LCTXH;Aktiv
01/10/20 13:06;N1M362;Zoey Matthews;AFV Forretningsudv. og Digitalisering;PC5007269;Windows 10;LENOVO;20LAS4VE00;ThinkPad T580;R90T8QG3;Aktiv
07/10/20 07:46;N1M363;Derick French;AFV Forretningsudv. og Digitalisering;PC5007270;Windows 10;LENOVO;20LAS4VE00;ThinkPad T580;R90T8QG2;Aktiv
07/10/20 09:54;#I/T;#I/T;AFV Drift og Vedligehold;PC5007272;Windows 10;LENOVO;20KES8D200;ThinkPad X280;PC11JAGP;Aktiv
